address	grantId	name	tag	active	core
0x0Cb4083d06D1DAD770b3aF65339154687D26729d	1011	Make-A-Wish Southern Florida	31-Contracts:Giveth	true	false
0x0Cb57bA0d69AB6E870C6e1dD6F36A46415d09Ba3	464	Berkeley Existential Risk Initiative	31-Contracts:Giveth	true	false
0x0cd56B93c1922Aa2D6a62113EDEa8EC2e472de66	1696	Fabien Cousteau Ocean Learning Center	31-Contracts:Giveth	true	false
0x0D0318d2634237044fe04dec66094D2A633C2a8c	1279	Bondh E Shams	31-Contracts:Giveth	true	false
0x0D073E6a0c2f4736775aC45f034ba5eE79619982	393	Divya Jyoti Jagrati Kendra	31-Contracts:Giveth	true	false
0x0D1ee7D9570D4206e558C336ccf2BDB132b83eDf	1099	Huru International	31-Contracts:Giveth	true	false
0x0d8dd32514F4B6d89c5EdF4b551a1041eCAfBaA1	852	Feeding Texas	31-Contracts:Giveth	true	false
0x0e2d3A569c14cde6f638d3FDad1C2f166d957f91	1082	ActionAid USA	31-Contracts:Giveth	true	false
0x0eEd1566f46B0421D53D2143A3957bb22016EF4B	55	Colorado Multiversity	31-Contracts:Giveth	true	false
0x0F4D7C9AFcA8D2a2f204a53AEe286B6E57540086	949	mRelief	31-Contracts:Giveth	true	false
0x0F662ecc281bCb7A24E9B68a0b8F61bB3c7Bfe09	1426	Lighthouse MI	31-Contracts:Giveth	true	false
0x0f73CdFA757943092d3471DDe20F05455cbE15cF	532	Rainforest Rescue	31-Contracts:Giveth	true	false
0x0fE26Ae6E529e777E6be070885BdAfe53C7f9291	1097	Bradley Angle	31-Contracts:Giveth	true	false
0x0ff1bAA6c90480d8627B922A1E81393EB9C7eA08	1328	Climate Solutions Communications and Public Outreach	31-Contracts:Giveth	true	false
0x0FF735d77661a282Ea6a0D299e760d646E9AA372	611	Diocese of Marquette	31-Contracts:Giveth	true	false
0x1000114f61E475281e70eE112592f23B5ea2294c	789	Community Foundation for San Benito County	31-Contracts:Giveth	true	false
0x10068AaAeEAC5c0db53Ebb364e7BA93A9a3C9c8B	627	Center for Global Impact	31-Contracts:Giveth	true	false
0x1010006de7348eFa3da04d3E1ba7c550604d120a	1739	U.S.-Ukraine Foundation	31-Contracts:Giveth	true	false
0x1079F830C09A886122eA11b46f450d9e4C4c0150	1415	ReVillaging Mutual Mentorships Program	31-Contracts:Giveth	true	false
0x108078624ccAAB5171C33c43eCeA6CbF36CC0B75	452	International Rhino Foundation	31-Contracts:Giveth	true	false
0x109e56bDDD1d229e8c12AFEdb388dfBC0329bF55	785	PAWS	31-Contracts:Giveth	true	false
0x10a7f1F4faBFEad6eB19Ba5f857e80A233e1574d	1121	The Chicago Center	31-Contracts:Giveth	true	false
0x10E1439455BD2624878b243819E31CfEE9eb721C	1542	Unchain Fund	31-Contracts:Giveth	true	false
0x1100d5647582a89614204dc790E3ee000770220F	719	Chef Ann Foundation	31-Contracts:Giveth	true	false
0x115A47E6292309D1137178e7F347B1170228D9d5	1594	The Bee Conservancy	31-Contracts:Giveth	true	false
0x116B7dd036b7EF4F28935c870F0D65535357eDc1	1560	The Farmlink Project	31-Contracts:Giveth	true	false
0x1170546B9708c020d044aB89AfC4Ac05614Ed404	939	SOS Children's Villages\n	31-Contracts:Giveth	true	false
0x11742f68357e61502cf33C17ED4491471ba8F35e	517	Gorilla Doctors	31-Contracts:Giveth	true	false
0x1178fA3C2b202DF43D79f0B7A114b0C0Bd4AB4D4	1077	Autism Research Institute	31-Contracts:Giveth	true	false
0x119812ef1De7ce002f5584D2a0Bec2e02603e5bA	853	LogOut Centre for Digital Wellbeing	31-Contracts:Giveth	true	false
0x11CC47A0355fA25CfA1f79502E7eAC5a5f6b9Cc1	1016	Make-A-Wish Connecticut	31-Contracts:Giveth	true	false
0x122bcC526c7a9cD0Ea0565e5F6122C4Ff2e84fd2	1346	Freedom Community Center	31-Contracts:Giveth	true	false
0x1251A94b6d800979d2d933b8Bd5914b892772Ac6	48	Commons Stack Community Fund - Panvala League	31-Contracts:Giveth	true	false
0x128B8a297a5D506Eed359b1193667977fbC583dc	623	Mercy for Animals	31-Contracts:Giveth	true	false
0x12c0e1fE9521c0535F7d5b5F6D52fe29a5e090c6	685	Project Transitions	31-Contracts:Giveth	true	false
0x134BE73E63F94bB28254CC263c1C383689513524	646	SERV International	31-Contracts:Giveth	true	false
0x136d6abA15147CB96626690b81e7742011A1769D	1210	Community Foundation for the Alleghenies	31-Contracts:Giveth	true	false
0x13D49E1bec6b9d480e33084C29d668DBB934441b	704	Rainforest Partnership	31-Contracts:Giveth	true	false
0x14b2cB1859df15259aB800505d42eeE8f29E732B	374	Emergence Church	31-Contracts:Giveth	true	false
0x14C31144ffFf2c3E3e1Cfa194007F17a4cB46274	435	Arbor Day Foundation	31-Contracts:Giveth	true	false
0x14D85661080Be5BCbB27D66a694f45032fa9fe36	118	PositiveBlockchain.io	31-Contracts:Giveth	true	false
0x152Ca22cA7120c5d5bd01a08023962252784Fc83	367	Desai Foundation	31-Contracts:Giveth	true	false
0x155A2A69371F55BD69F9E42102Ad5AE9768D4FA5	837	SolarBuddy	31-Contracts:Giveth	true	false
0x1580da59C172197Ff1522AeF642b988B0de7BadE	1081	IDinsight	31-Contracts:Giveth	true	false
0x15A2e004305D6ab91e64a95ABE6D2CDe8a8ceE54	717	Hope For Paws	31-Contracts:Giveth	true	false
0x15DED649483452DAC13a241FB37d6144047cAfEe	1656	SAM, Inc.	31-Contracts:Giveth	true	false
0x1606Ae3C3d2AB35c2bd66Fa687F104519D403cd8	1767	The Roman Catholic Archbishop of San Francisco	31-Contracts:Giveth	true	false
0x160707bb3890F96a1E74Da9D6C8855f1AC30C53b	1632	The Catholic Foundation of Northern CO	31-Contracts:Giveth	true	false
0x16204069922fc4242FbbC5c664970c9601015865	1476	ReFiClassroom	31-Contracts:Giveth	true	false
0x1621C53692fF3a832a6555da168329f2c5FD43aB	570	Abiding Harvest UMC	31-Contracts:Giveth	true	false
0x168d48Ec0cDA4b6e03d1C3448FBA9D761ce7BB45	566	ZERO - The End of Prostate Cancer	31-Contracts:Giveth	true	false
0x16A03f29D029e14FDEBC1C559EA04F26116e6472	613	Rainforest Foundation US	31-Contracts:Giveth	true	false
0x16a53C489b2aFE4003cB1D8ad69B24F938a8bE4c	981	Over and Above Africa Foundation	31-Contracts:Giveth	true	false
0x16b4c2738786b9319b8Edbe5f65Af24035c75E5D	616	MiraCosta College Foundation	31-Contracts:Giveth	true	false
0x174Ef0702dF8680FE6bC48c1fbc30F69a5DebD2C	365	The Doe Fund, Inc.	31-Contracts:Giveth	true	false
0x17A0B025990a324DBA1b4d74C4cccad8e4B749a2	1293	Kennedy Children's Center	31-Contracts:Giveth	true	false
