Num	blocknumber	date	balance	blocknumber	Type	Amount	Count	DAI Balance	Claim Balance	Claim Count
64	11504907	12/22/20 18:27	0	11504907	PayoutAdded	4.96595E+17	1	0.00	17.54	64
65	11504907	12/22/20 18:27	0	11504907	PayoutAdded	5.07327E+17	1	0.00	18.05	65
66	11504907	12/22/20 18:27	0	11504907	PayoutAdded	5.14333E+17	1	0.00	18.56	66
67	11504907	12/22/20 18:27	0	11504907	PayoutAdded	5.7722E+17	1	0.00	19.14	67
68	11504907	12/22/20 18:27	0	11504907	PayoutAdded	5.85316E+17	1	0.00	19.72	68
69	11504907	12/22/20 18:27	0	11504907	PayoutAdded	6.06524E+17	1	0.00	20.33	69
70	11504907	12/22/20 18:27	0	11504907	PayoutAdded	6.81142E+17	1	0.00	21.01	70
71	11504907	12/22/20 18:27	0	11504907	PayoutAdded	6.87219E+17	1	0.00	21.70	71
72	11504907	12/22/20 18:27	0	11504907	PayoutAdded	6.93254E+17	1	0.00	22.39	72
73	11504907	12/22/20 18:27	0	11504907	PayoutAdded	6.97095E+17	1	0.00	23.09	73
74	11504907	12/22/20 18:27	0	11504907	PayoutAdded	7.02021E+17	1	0.00	23.79	74
75	11504907	12/22/20 18:27	0	11504907	PayoutAdded	7.42761E+17	1	0.00	24.53	75
76	11504907	12/22/20 18:27	0	11504907	PayoutAdded	7.46222E+17	1	0.00	25.28	76
77	11504907	12/22/20 18:27	0	11504907	PayoutAdded	7.48662E+17	1	0.00	26.03	77
78	11504907	12/22/20 18:27	0	11504907	PayoutAdded	7.82409E+17	1	0.00	26.81	78
79	11504907	12/22/20 18:27	0	11504907	PayoutAdded	7.96098E+17	1	0.00	27.61	79
80	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.01222E+17	1	0.00	28.41	80
81	11504907	12/22/20 18:27	0	11504907	PayoutAdded	5.30252E+21	1	0.00	"5,330.93"	81
82	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.29862E+17	1	0.00	"5,331.76"	82
83	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.40751E+17	1	0.00	"5,332.60"	83
84	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.52928E+17	1	0.00	"5,333.45"	84
85	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.6259E+17	1	0.00	"5,334.31"	85
86	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.76006E+17	1	0.00	"5,335.19"	86
87	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.81256E+17	1	0.00	"5,336.07"	87
88	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.93957E+17	1	0.00	"5,336.96"	88
89	11504907	12/22/20 18:27	0	11504907	PayoutAdded	9.39444E+17	1	0.00	"5,337.90"	89
90	11504907	12/22/20 18:27	0	11504907	PayoutAdded	9.88574E+17	1	0.00	"5,338.89"	90
91	11504907	12/22/20 18:27	0	11504907	PayoutAdded	9.98775E+17	1	0.00	"5,339.89"	91
92	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.06152E+18	1	0.00	"5,340.95"	92
93	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.08461E+18	1	0.00	"5,342.04"	93
94	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.18918E+18	1	0.00	"5,343.23"	94
95	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.21091E+18	1	0.00	"5,344.44"	95
96	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.53706E+18	1	0.00	"5,345.97"	96
97	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.55343E+18	1	0.00	"5,347.53"	97
98	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.61538E+18	1	0.00	"5,349.14"	98
99	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.72178E+18	1	0.00	"5,350.86"	99
100	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.72926E+18	1	0.00	"5,352.59"	100
101	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.7821E+18	1	0.00	"5,354.38"	101
102	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.83132E+18	1	0.00	"5,356.21"	102
103	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.22597E+19	1	0.00	"5,378.47"	103
104	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.95767E+18	1	0.00	"5,380.42"	104
105	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.98079E+18	1	0.00	"5,382.41"	105
106	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.0932E+18	1	0.00	"5,384.50"	106
107	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.77417E+19	1	0.00	"5,412.24"	107
108	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.3627E+18	1	0.00	"5,414.60"	108
109	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.44709E+18	1	0.00	"5,417.05"	109
110	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.62856E+18	1	0.00	"5,419.68"	110
111	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.69447E+18	1	0.00	"5,422.37"	111
112	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.91358E+18	1	0.00	"5,425.29"	112
113	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.02891E+18	1	0.00	"5,428.32"	113
114	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.08201E+18	1	0.00	"5,431.40"	114
115	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.1228E+18	1	0.00	"5,434.52"	115
116	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.22596E+18	1	0.00	"5,437.75"	116
117	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.25612E+18	1	0.00	"5,441.00"	117
118	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.35764E+18	1	0.00	"5,444.36"	118
119	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.58053E+18	1	0.00	"5,447.94"	119
120	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.59048E+18	1	0.00	"5,451.53"	120
121	11504939	12/22/20 18:37	0	11504939	PayoutAdded	3.6229E+18	1	0.00	"5,455.15"	121
122	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.12843E+18	1	0.00	"5,459.28"	122
123	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.14686E+18	1	0.00	"5,463.43"	123
124	11504939	12/22/20 18:37	0	11504939	PayoutAdded	4.50243E+18	1	0.00	"5,467.93"	124
