blocknumber	compressedlog
11504939	PayoutAdded	 14066013574523800855
11504939	PayoutAdded	 14627193044372699404
11504939	PayoutAdded	 15157767148911100107
11504939	PayoutAdded	 15522777635428800735
11504939	PayoutAdded	 16248818927813701407
11504939	PayoutAdded	 17154183176917300102
11504939	PayoutAdded	 17225450770344700401
11504939	PayoutAdded	 17353687680355498912
11504939	PayoutAdded	 17454620266111199100
11504939	PayoutAdded	 17490486790318499288
11504939	PayoutAdded	 17787778195891000621
11504939	PayoutAdded	 17807211846044999958
11504939	PayoutAdded	 18404859965400500954
11504939	PayoutAdded	 18635060186020400152
11504939	PayoutAdded	 18759422142116999765
11504939	PayoutAdded	 19156238341539800984
11504939	PayoutAdded	 19373742405080200512
11504939	PayoutAdded	 19403980961068999278
11504939	PayoutAdded	 20184323612151601423
11504939	PayoutAdded	 20497364755324600338
11504939	PayoutAdded	 20674269010160699622
11504939	PayoutAdded	 22059013169434898316
11504939	PayoutAdded	 24175428237503101769
11504939	PayoutAdded	 24302847040995700922
11504939	PayoutAdded	 25374781455961098686
11504939	PayoutAdded	 350402483788783403184
11504939	PayoutAdded	 25802574770459401065
11504939	PayoutAdded	 26223503351398100846
11504939	PayoutAdded	 26314553753694301718
11504939	PayoutAdded	 26597699603036300430
11504939	PayoutAdded	 27742664244506599402
11504939	PayoutAdded	 30025091984155398705
11504939	PayoutAdded	 30257185057220201684
11504939	PayoutAdded	 30459007220562398288
11504939	PayoutAdded	 31029876616872201111
11504939	PayoutAdded	 32274022733233699966
11504939	PayoutAdded	 32764059287297399691
11504939	PayoutAdded	 35909196423848797508
11504939	PayoutAdded	 36864565903200102070
11504939	PayoutAdded	 38082839258985998753
11504939	PayoutAdded	 38504178461252401177
11504939	PayoutAdded	 39469386854484000082
11504939	PayoutAdded	 40356705769687302165
11504939	PayoutAdded	 40930817241076702828
11504939	PayoutAdded	 42549371903933597138
11504939	PayoutAdded	 43254925706320200617
11504939	PayoutAdded	 45681793531650797035
11504939	PayoutAdded	 46972974427459099899
11504939	PayoutAdded	 51579945541722899804
11504939	PayoutAdded	 53717355585198596656
11504939	PayoutAdded	 55124901325625103254
11504939	PayoutAdded	 64847669670321096191
11504939	PayoutAdded	 65653172888143799923
11504939	PayoutAdded	 66167155503877097544
11504939	PayoutAdded	 66294313918287997466
11504939	PayoutAdded	 66950505187293103404
11504939	PayoutAdded	 67534891727736294342
11504939	PayoutAdded	 68004313489114693425
11504939	PayoutAdded	 75523409877820995461
11504939	PayoutAdded	 79777412664692306520
11504939	PayoutAdded	 82354732931922001171
11504939	PayoutAdded	 86128793165122203845
11504939	PayoutAdded	 87719522127586799342
11504939	PayoutAdded	 88656314853671204900
11504939	PayoutAdded	 91481187274546797993
11504939	PayoutAdded	 92232680372280597680
11504939	PayoutAdded	 97748859385708897207
11504939	PayoutAdded	 98585506221114997060
11504939	PayoutAdded	 101867811097808996123
11504939	PayoutAdded	 111949162047339996206
11504939	PayoutAdded	 112869490605999004628
11504939	PayoutAdded	 114839421122556998966
11504939	PayoutAdded	 115246499434098993219
11504939	PayoutAdded	 116582600076841998770
11504939	PayoutAdded	 124424110600586004693
11504939	PayoutAdded	 126237047286353003983
11504939	PayoutAdded	 126585940621860004284
11504939	PayoutAdded	 130789858908685999949
11504939	PayoutAdded	 144351647773183998424
11504939	PayoutAdded	 149726045796096002504
11504939	PayoutAdded	 159849577518138005416
11504939	PayoutAdded	 163405835198572987110
11504939	PayoutAdded	 169648868417375012995
11504939	PayoutAdded	 172350802201470003183
11504939	PayoutAdded	 175316212296933002789
11504939	PayoutAdded	 179483943280751987003
11504939	PayoutAdded	 179485019772078004507
11504939	PayoutAdded	 204788132857791993046
11504939	PayoutAdded	 211341170752727009585
11504939	PayoutAdded	 215628180602617987915
11504939	PayoutAdded	 221071202077862011492
11504939	PayoutAdded	 223764872563396011173
11504939	PayoutAdded	 227515696833454001080
11504939	PayoutAdded	 241265558765854990497
11504939	PayoutAdded	 245098163620529987838
11504939	PayoutAdded	 248905823122957997384
11504939	PayoutAdded	 250841392979373011939
11504939	PayoutAdded	 263767509257038000214
11504939	PayoutAdded	 268474085968535007395
11504939	PayoutAdded	 283225333508707024066
